Ca II H&K,392.50,398.50,2.00,1.79
H Delta,409.50,411.00,1.00,0.07
Ca I 'g band',422.00,423.50,2.00,0.05
G band 4300,427.50,432.50,2.00,0.46
H Gamma,433.50,434.50,1.00,0.04
Fe I 'd band',437.00,440.00,2.00,0.16
H Beta,482.00,488.50,1.00,0.33
Mg 5170,514.50,519.50,2.00,0.26
Na D,587.50,591.50,2.00,0.16
H Alpha 6563 band,653.50,659.50,1.00,0.30
Ca II 8498,848.50,850.50,2.00,-0.10
Ca II 8542,852.50,855.50,2.00,-0.23
Ca II 8662,863.00,867.00,2.00,-0.28
O2 6300 band,626.50,635.50,2.00,0.00
O2 B band,684.50,697.50,2.00,0.54
H2O 7200a band,691.50,708.50,1.00,0.61
H2O 7200b band,715.50,734.50,2.00,5.16
O2 A band,756.50,769.50,2.00,3.69
H2O Z band,785.50,859.50,4.00,8.17
CH4 6190,613.50,620.50,2.00,0.33
CH4 7250,710.50,739.50,3.00,7.08
CH4 8620,848.50,865.50,3.00,3.00
CH4 8890,870.50,919.50,3.00,14.90
