Type,ID,Start(nm),End(nm),ContWdth(nm) 
Solar,410HID,409.500,411.000,1.000,
Solar,434HIG,433.500,434.500,1.000,
Solar,486HIB,482.000,488.500,1.000,
Solar,656HIA,653.500,659.500,1.000,
Solar,395CaII,392.500,398.500,2.000,
Solar,850CaII,848.000,851.000,1.000,
Solar,854CaII,852.000,856.000,1.000,
Solar,866CaII,862.500,867.500,2.000,
Solar,423CaI,422.000,423.500,2.000,
Solar,430FeI,427.500,432.500,2.000,
Solar,438FeI,437.000,440.000,2.000,
Solar,517MgI,514.500,519.500,2.000,
Solar,589NaI,587.500,591.500,2.000,
Telluric,630O2,626.500,635.500,2.000,
Telluric,684O2,684.500,697.500,2.000,
Telluric,720H2Oa,691.500,708.500,1.000,
Telluric,720H2Ob,715.500,734.500,2.000,
Telluric,761O2A,756.500,769.500,2.000,
Telluric,820H2OZ,785.000,860.000,4.000,
Planetary,543CH4,536.500,549.500,2.000,
Planetary,619CH4,610.500,627.500,2.000,
Planetary,725CH4,710.000,740.000,3.000,
Planetary,862CH4,848.000,866.000,3.000,
Planetary,889CH4,870.000,920.000,3.000,
