Object,Type,X0,X1,NX,Y0,Y1,NY,Y0,Y1,NY,ANSCL,DST,
Titan,Albedo, 2000.,2450., 5.,25.,-8.,8.,9,-8.,8.,9,1.25,15.6,
STF1110AB,Zoom, 2000.,2450., 1.,5.,-5.,-3.,11,2.,4.,11,1.03,15.6,
STF1110AB,PASep,2006.,2020., 2.,2.,4.2,5.4,7,50.,60.,6,1.0,15.6,
STF2272AB,Wide, 2000.,2089., 1.,5.,-8.,3.,12,-7.,4.,12,1.20,5.08,
STF2272AB,Zoom, 2000.,2089., 0.5,2.,-6.,-4.,11,-4.4,-2.4,11,1.03,5.08,
STF2272AB,PASep,2006.,2020., 2.,2.,5.4,6.8,8,120.,135.,6,1.0,5.08,
STF2055AB,Wide, 2000.,2130., 1.,10.,-1.5,1.0,11,-0.75,1.75,11,1.15,53.1,
STF2055AB,Zoom, 2000.,2130., 0.5,5.,-1.4,-0.4,11,0.6,1.6,11,1.05,53.1,
STF2055AB,PASep,2006.,2020., 2.,2.,1.0,1.6,7, 35., 45.,11,1.0,53.1,
BU  648AB,Wide, 2000.,2064., 1.,5.,-1.5,1.5,11,-1.5,1.5,11,1.15,14.9,
BU  648AB,Zoom, 2000.,2064., 0.5,5.,0.5,1.5,11,-1.0,0.0,11,1.05,14.9,
BU  648AB,PASep,2006.,2020., 2.,2.,0.8,1.6,9,225.,265.,9,1.0,14.9,
STF2382AB,Wide, 1900.,3699.,10.,100.,-6.0,2.0,9,-4.0,4.0,9,1.10,49.8,
STF2382AB,Zoom, 1900.,2805., 1., 10.,0.2,1.2,11,1.5,2.5,11,0.97,49.8,
STF2382AB,PASep,2006.,2020., 2.,2.,2.0,2.6,7,342.,350.,9,1.0,49.8,
STF2383Cc-D,Wide, 2000.,2724., 5.,50.,-4.0,3.0,8,-4.0,3.0,8,1.15,49.8,
STF2383Cc-D,Zoom, 2000.,2724., 1., 5.,-2.7,-1.7,11,0.0,1.0,11,0.96,49.8,
STF2383Cc-D,PASep,2006.,2020., 2.,2.,2.0,2.6,7, 74., 80.,11,1.0,49.8,
STF2084,Wide, 2006.,2041., 0.5,2.,-2.0,1.5,8,-1.5,1.5,8,1.15,10.7,
STF2084,Zoom, 2006.,2041., 0.5,2.,-1.0,0.5,11,-1.5,0.0,11,1.05,10.7,
STF2084,PASep,2006.,2020., 0.1,2.,0.8,1.4,7,100.,200.,11,1.0,10.7,
STF  60AB,Wide, 1980.,2460., 5.,20.,-12.0,12.0,7,-8.0,16.0,7,1.15,5.95,
STF  60AB,Zoom, 1970.,2060., 1.0,5.0,6.0,11.0,11,7.0,12.0,11,1.02,5.95,
STF  60AB,PASep,1990.,2020., 1.0,5.0,11.,15.,9,305.,335.,11,1.0,5.95,
