G band 4300,411.500,444.500,2.000,4.454
H Beta,476.500,503.500,1.000,0.414
Mg 5170,509.500,536.500,2.000,0.320
Na D,580.500,599.500,2.000,-0.007
H Alpha 6563 band,653.500,669.500,1.000,0.260
O2 B band,683.500,698.500,2.000,0.174
H2O 7200a + CH4,691.500,708.500,1.000,0.482
H2O 7200b + CH4,715.500,734.500,2.000,2.174
O2 A band,754.500,775.500,2.000,2.464
H2O Z band + CH4,785.500,859.500,4.000,9.029
CH4 6190,606.500,639.500,3.000,1.804
CH4 6680,646.500,676.500,2.000,1.265
CH4 6825 + O2 B,678.500,689.500,2.000,-0.450
CH4 7050 + H2O 7200a,692.500,711.500,2.000,0.643
CH4 7250 + H2O 7200b,712.500,755.500,3.000,7.656
