CH4 6190,606.500,639.500,3.000,1.775
CH4 6680,646.500,676.500,2.000,1.199
CH4 6825,678.500,689.500,2.000,-0.358
CH4 7050,692.500,711.500,2.000,0.549
CH4 7250,712.500,755.500,3.000,7.184
CH4/NH3? 7900,756.500,825.500,3.000,19.322
CH4 8420,830.500,847.500,3.000,0.511
CH4 8620,848.500,873.500,3.000,-0.892
CH4 8890,874.500,912.500,3.000,16.143
O2 B band,683.500,698.500,2.000,-0.079
H2O 7200a + CH4,691.500,708.500,1.000,0.501
H2O 7200b + CH4,715.500,734.500,2.000,1.863
O2 A band,754.500,775.500,2.000,1.270
H2O Z band + CH4,785.500,859.500,4.000,-11.359
